No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
99   1:00:44.802    3:10:35.309    3:10:35.917    0.608      0.608      Paused by player, Unpause by player
100  1:00:45.202    3:10:36.311    3:10:37.393    1.082      1.082      Paused by player, Unpause by player
101  1:00:46.552    3:10:38.706    3:10:39.345    0.639      0.639      Paused by player, Unpause by player
102  1:00:46.952    3:10:39.717    3:10:40.089    0.372      0.372      Paused by player, Unpause by player
103  1:00:47.502    3:10:40.640    3:10:41.468    0.828      0.828      Paused by player, Unpause by player
104  1:00:48.302    3:10:42.241    3:10:45.087    2.846      2.846      Paused by player, Unpause by player
105  1:00:52.052    3:10:48.815    3:10:49.770    0.955      0.955      Paused by player, Unpause by player
106  1:00:52.702    3:10:50.389    3:10:51.500    1.111      1.111      Paused by player, Unpause by player
107  1:01:07.252    3:11:06.009    3:11:12.149    6.140      6.140      Paused by player, Unpause by player
108  1:01:38.052    3:11:42.917    3:11:51.397    8.480      8.480      Paused by player, Unpause by player
109  1:01:39.902    3:11:53.233    3:11:56.544    3.311      3.311      Paused by player, Unpause by player
110  1:01:43.602    3:12:00.221    3:13:14.152    73.931     73.931     Paused by player, Unpause by player
111  1:01:49.952    3:13:20.494    3:13:23.704    3.210      3.210      Paused by player, Unpause by player
112  1:01:55.752    3:13:29.483    3:14:20.788    51.305     51.305     Paused by player, Unpause by player
113  1:02:52.702    3:15:17.710    3:15:20.735    3.025      3.025      Paused by player, Unpause by player
114  1:02:53.752    3:15:21.781    3:15:22.629    0.848      0.848      Paused by player, Unpause by player
115  1:02:54.302    3:15:23.172    3:15:23.615    0.443      0.443      Paused by player, Unpause by player
116  1:02:54.652    3:15:23.967    3:15:25.001    1.034      1.034      Paused by player, Unpause by player
117  1:02:55.052    3:15:25.366    3:15:25.610    0.244      0.244      Paused by player, Unpause by player
118  1:02:55.352    3:15:25.876    3:15:26.084    0.208      0.208      Paused by player, Unpause by player
119  1:02:55.702    3:15:26.393    3:15:26.617    0.224      0.224      Paused by player, Unpause by player
120  1:02:56.402    3:15:27.296    3:15:27.499    0.203      0.203      Paused by player, Unpause by player
121  1:03:38.002    3:16:09.076    3:16:12.774    3.698      3.698      Paused by player, Unpause by player
122  1:03:38.452    3:16:13.201    3:16:14.746    1.545      1.545      Paused by player, Unpause by player
123  1:03:40.602    3:16:16.873    3:16:17.263    0.390      0.390      Paused by player, Unpause by player
124  1:03:40.952    3:16:17.600    3:16:18.123    0.523      0.523      Paused by player, Unpause by player
125  1:03:41.252    3:16:18.381    3:16:18.745    0.364      0.364      Paused by player, Unpause by player
126  1:03:41.752    3:16:19.241    3:16:19.701    0.460      0.460      Paused by player, Unpause by player
127  1:03:42.052    3:16:19.980    3:16:20.377    0.397      0.397      Paused by player, Unpause by player
128  1:03:42.352    3:16:20.658    3:16:21.065    0.407      0.407      Paused by player, Unpause by player
129  1:03:44.002    3:16:22.688    3:16:23.344    0.656      0.656      Paused by player, Unpause by player
130  1:03:44.852    3:16:24.158    3:16:24.524    0.366      0.366      Paused by player, Unpause by player
131  1:03:45.202    3:16:24.865    3:16:25.077    0.212      0.212      Paused by player, Unpause by player
132  1:03:45.952    3:16:25.809    3:16:27.184    1.375      1.375      Paused by player, Unpause by player
133  1:03:46.302    3:16:27.534    3:16:27.832    0.298      0.298      Paused by player, Unpause by player
